Age,City/PIN,IncomeBracket,HouseholdSize,OrderFreq,TypicalSpend,PrimaryMotivation,DietPattern,Allergies,NutritionImportance,BasketCombineInterest,HotSyncValue,PreferredDeliveryTier,ExtraFeeExpress,EcoSaverLikelihood_GreenCoins,LowCarbonPackagingImportance,ReturnPouch,BundleDealInterest,PreferredIncentives,AccessibilityFeatures,PainPoints,AdoptionLikelihood_30d
32,Delhi,50-75k,4,<1/mo,111,Convenience,Calorie-controlled,None,4,3,3,Depends,0,5,3,Yes,4,"Targeted discounts,Streak cashback,Surprise free items","Color-blind palette,Voice-first ordering","Cold food,Limited healthy options,Late deliveries",2
32,Kolkata,75-100k,6,<1/mo,210,Other,None,"Peanuts,Dairy",3,4,3,Eco-Saver,0,4,2,Yes,3,"Surprise free items,Targeted discounts,Carbon-offset badges",Color-blind palette,"High fees,Sustainability concerns",4
27,Pune,25-50k,1,<1/mo,151,Convenience,Other,None,2,3,4,Express Fresh,97,5,3,Yes,4,Targeted discounts,Voice-first ordering,"Limited healthy options,Sustainability concerns",3
32,Mumbai,50-75k,3,1-2/wk,884,Other,Vegetarian,None,4,4,5,Eco-Saver,0,5,4,No,3,"Streak cashback,Targeted discounts,Carbon-offset badges",None,"Confusing UI,Cold food,High fees",5
36,Pune,50-75k,3,3-5/wk,119,Variety,Calorie-controlled,"Peanuts,Soy",4,4,3,Express Fresh,81,3,4,Yes,4,None of these,Voice-first ordering,Limited healthy options,4
27,Ahmedabad,<25k,5,3-5/wk,70,Other,Gluten-free,None,5,3,5,Express Fresh,45,3,4,Yes,3,"Targeted discounts,Streak cashback,Carbon-offset badges","Color-blind palette,Courier empathy rating",Limited healthy options,4
39,Pune,>100k,2,<1/mo,346,Time constraints,High-protein,None,3,4,4,Eco-Saver,0,3,4,Yes,4,"Carbon-offset badges,Surprise free items,Streak cashback","Color-blind palette,Voice-first ordering","Limited healthy options,Late deliveries,High fees",3
31,Pune,25-50k,3,<1/mo,213,Variety,Calorie-controlled,"Dairy,Soy",3,1,3,Depends,0,3,3,Yes,3,Surprise free items,None,"Late deliveries,Limited healthy options,Sustainability concerns",1
18,Lucknow,25-50k,1,<1/mo,187,Time constraints,Vegetarian,None,4,5,2,Eco-Saver,0,1,3,Yes,5,None of these,"Larger text/UI,Courier empathy rating","Confusing UI,Limited healthy options,Late deliveries",5
40,Lucknow,50-75k,4,1-3/mo,182,Other,None,None,3,5,4,Express Fresh,84,4,3,Yes,3,"Carbon-offset badges,Streak cashback,Surprise free items","Larger text/UI,Courier empathy rating",None,3
38,Hyderabad,25-50k,3,<1/mo,184,Variety,Calorie-controlled,None,3,3,2,Express Fresh,32,3,3,Yes,4,"Streak cashback,Targeted discounts,Surprise free items",Larger text/UI,"High fees,Sustainability concerns",2
34,Bengaluru,25-50k,2,1-2/wk,133,Variety,None,None,5,3,2,Express Fresh,100,3,3,No,1,Streak cashback,Larger text/UI,"Late deliveries,Cold food",2
36,Hyderabad,25-50k,1,1-3/mo,190,Convenience,Vegetarian,None,4,5,3,Eco-Saver,0,5,5,Yes,4,Surprise free items,Larger text/UI,"Cold food,Confusing UI,Sustainability concerns",5
19,Lucknow,50-75k,2,<1/mo,114,Time constraints,Vegetarian,None,2,3,4,Eco-Saver,0,2,3,Yes,1,Targeted discounts,None,Cold food,2
28,Kolkata,>100k,1,<1/mo,243,Variety,Vegetarian,Soy,3,4,3,Eco-Saver,0,3,3,Yes,3,None of these,"Courier empathy rating,Color-blind palette","Confusing UI,Limited healthy options",4
19,Hyderabad,>100k,4,1-2/wk,223,Time constraints,Calorie-controlled,None,3,4,3,Eco-Saver,0,4,4,Yes,4,"Surprise free items,Carbon-offset badges,Streak cashback",None,Cold food,4
21,Jaipur,25-50k,2,<1/mo,212,Time constraints,None,Soy,3,3,3,Eco-Saver,0,4,2,No,2,Targeted discounts,None,"Limited healthy options,Sustainability concerns",1
25,Jaipur,75-100k,3,1-2/wk,118,Health meals,Vegetarian,Gluten,3,3,3,Depends,0,4,3,Yes,3,None of these,Color-blind palette,"Confusing UI,Late deliveries,High fees",1
30,Mumbai,75-100k,2,1-2/wk,199,Time constraints,Vegetarian,None,1,2,3,Express Fresh,109,4,3,Yes,2,"Targeted discounts,Streak cashback,Surprise free items","Courier empathy rating,Voice-first ordering","Late deliveries,High fees,Confusing UI",3
21,Lucknow,75-100k,6,1-3/mo,123,Other,Other,None,3,3,2,Eco-Saver,0,3,3,No,2,"Targeted discounts,Surprise free items","Voice-first ordering,Color-blind palette","Confusing UI,Sustainability concerns",3
33,Lucknow,50-75k,3,1-3/mo,89,Other,Vegan,"Soy,Shellfish",4,3,4,Eco-Saver,0,4,4,Yes,3,Targeted discounts,Courier empathy rating,"Confusing UI,Cold food",3
31,Pune,25-50k,1,1-2/wk,116,Variety,Gluten-free,None,4,4,2,Depends,0,3,4,Yes,2,Surprise free items,Courier empathy rating,Confusing UI,4
18,Chennai,<25k,4,1-3/mo,628,Convenience,None,None,2,3,3,Depends,0,1,4,No,1,Streak cashback,"Voice-first ordering,Larger text/UI",Late deliveries,4
20,Bengaluru,<25k,2,3-5/wk,151,Convenience,None,None,3,4,3,Express Fresh,0,4,5,Yes,3,"Surprise free items,Carbon-offset badges",Voice-first ordering,"Confusing UI,Cold food,Late deliveries",3
20,Lucknow,50-75k,3,1-3/mo,143,Convenience,None,None,2,3,5,Eco-Saver,0,2,5,Yes,3,"Streak cashback,Surprise free items,Carbon-offset badges","Courier empathy rating,Color-blind palette","Confusing UI,Sustainability concerns",3
18,Delhi,75-100k,4,1-3/mo,363,Health meals,Vegetarian,None,4,2,3,Depends,0,5,2,No,3,"Streak cashback,Carbon-offset badges",Color-blind palette,High fees,2
26,Chennai,50-75k,2,<1/mo,225,Other,Gluten-free,"Soy,Shellfish",3,3,4,Depends,0,4,3,Yes,4,"Surprise free items,Carbon-offset badges",Voice-first ordering,Sustainability concerns,2
34,Hyderabad,>100k,5,1-3/mo,339,Variety,None,None,4,1,3,Eco-Saver,0,4,4,No,5,"Surprise free items,Targeted discounts","Color-blind palette,Voice-first ordering","Confusing UI,Limited healthy options",4
29,Kolkata,25-50k,4,>5/wk,186,Time constraints,Vegetarian,None,4,3,4,Eco-Saver,0,4,3,No,4,"Surprise free items,Streak cashback,Targeted discounts",None,High fees,3
44,Ahmedabad,25-50k,3,1-3/mo,151,Convenience,Vegetarian,None,2,3,4,Express Fresh,28,2,4,Yes,3,Targeted discounts,Larger text/UI,High fees,3
35,Kolkata,>100k,7,3-5/wk,320,Other,None,None,5,4,2,Express Fresh,119,3,3,Yes,1,None of these,"Color-blind palette,Courier empathy rating",Sustainability concerns,5
50,Bengaluru,>100k,4,3-5/wk,185,Other,None,None,3,3,3,Express Fresh,154,4,2,Yes,4,"Carbon-offset badges,Targeted discounts",None,"Confusing UI,Late deliveries,High fees",1
21,Hyderabad,25-50k,3,>5/wk,158,Convenience,High-protein,None,3,4,2,Depends,0,3,4,Yes,5,Carbon-offset badges,None,Sustainability concerns,5
31,Mumbai,50-75k,2,1-3/mo,201,Convenience,Calorie-controlled,Gluten,3,3,2,Express Fresh,83,4,4,Yes,3,"Streak cashback,Surprise free items",None,"Sustainability concerns,Confusing UI",2
34,Jaipur,50-75k,4,1-2/wk,116,Other,None,None,4,5,4,Eco-Saver,0,2,1,Yes,4,"Targeted discounts,Surprise free items,Streak cashback",None,Confusing UI,3
27,Chennai,25-50k,4,3-5/wk,129,Time constraints,High-protein,"Gluten,Peanuts",3,3,2,Express Fresh,86,4,2,Yes,2,None of these,Color-blind palette,High fees,1
38,Mumbai,<25k,3,1-3/mo,77,Time constraints,None,Dairy,4,3,4,Eco-Saver,0,3,5,Yes,4,Streak cashback,Color-blind palette,Limited healthy options,3
24,Bengaluru,25-50k,4,1-2/wk,262,Convenience,Calorie-controlled,None,2,2,2,Express Fresh,87,3,4,Yes,3,"Streak cashback,Targeted discounts",None,"Cold food,Sustainability concerns,Late deliveries",2
18,Delhi,75-100k,3,<1/mo,249,Other,None,Gluten,3,4,3,Express Fresh,115,4,1,Yes,1,Targeted discounts,"Voice-first ordering,Color-blind palette","High fees,Confusing UI,Cold food",3
29,Kolkata,25-50k,2,1-3/mo,137,Variety,None,None,4,5,5,Eco-Saver,0,3,3,No,2,None of these,"Courier empathy rating,Voice-first ordering",Cold food,5
29,Ahmedabad,>100k,7,1-2/wk,187,Convenience,None,None,3,5,4,Depends,0,2,5,Yes,2,Streak cashback,"Larger text/UI,Color-blind palette","Limited healthy options,Late deliveries",5
23,Delhi,50-75k,5,<1/mo,198,Time constraints,None,Soy,3,4,4,Depends,0,5,5,Yes,2,"Surprise free items,Carbon-offset badges",None,Sustainability concerns,5
46,Pune,<25k,2,1-3/mo,97,Variety,None,None,3,3,5,Depends,0,4,4,Yes,4,"Streak cashback,Carbon-offset badges,Surprise free items",None,Sustainability concerns,3
34,Kolkata,<25k,4,3-5/wk,110,Convenience,Vegetarian,Soy,2,1,5,Depends,0,4,3,Yes,4,"Streak cashback,Surprise free items,Targeted discounts",Color-blind palette,"Limited healthy options,Cold food,High fees",2
18,Mumbai,>100k,3,<1/mo,59,Health meals,Calorie-controlled,"Shellfish,Soy",3,3,3,Eco-Saver,0,2,4,Yes,2,"Carbon-offset badges,Streak cashback,Surprise free items",Courier empathy rating,None,3
30,Jaipur,50-75k,3,<1/mo,242,Other,High-protein,Dairy,2,3,2,Eco-Saver,0,4,4,Yes,5,Streak cashback,Larger text/UI,"High fees,Late deliveries",2
30,Pune,<25k,1,1-2/wk,123,Other,None,"Soy,Gluten",3,4,4,Express Fresh,28,3,2,No,3,"Targeted discounts,Surprise free items",Voice-first ordering,"High fees,Late deliveries,Cold food",2
42,Jaipur,<25k,3,3-5/wk,165,Other,Vegetarian,Gluten,3,3,4,Eco-Saver,0,4,2,Yes,4,"Carbon-offset badges,Surprise free items",None,"Cold food,Limited healthy options,Late deliveries",1
18,Jaipur,<25k,1,1-3/mo,135,Variety,Vegetarian,"Dairy,Soy",4,4,4,Depends,0,4,5,No,1,"Surprise free items,Targeted discounts,Streak cashback",None,"Late deliveries,Limited healthy options,High fees",4
27,Chennai,50-75k,2,>5/wk,190,Time constraints,Calorie-controlled,"Dairy,Soy",4,5,3,Depends,0,3,2,Yes,2,"Targeted discounts,Streak cashback,Carbon-offset badges",Voice-first ordering,"High fees,Late deliveries,Sustainability concerns",5
18,Hyderabad,25-50k,4,1-2/wk,680,Health meals,None,Dairy,1,5,4,Eco-Saver,0,3,5,Yes,4,None of these,None,Cold food,4
34,Mumbai,50-75k,4,1-2/wk,124,Time constraints,Vegan,None,2,4,3,Eco-Saver,0,2,4,Yes,1,Targeted discounts,"Color-blind palette,Larger text/UI","Sustainability concerns,Cold food,Limited healthy options",3
47,Chennai,25-50k,4,1-3/mo,103,Convenience,Vegan,"Soy,Peanuts",2,4,4,Express Fresh,92,1,4,Yes,1,"Targeted discounts,Carbon-offset badges",Color-blind palette,Cold food,4
21,Chennai,75-100k,2,1-3/mo,164,Health meals,High-protein,None,3,3,3,Depends,0,4,3,Yes,4,"Streak cashback,Surprise free items,Carbon-offset badges","Voice-first ordering,Larger text/UI","Cold food,High fees",2
18,Kolkata,25-50k,1,<1/mo,162,Other,None,"Peanuts,Shellfish",4,4,4,Eco-Saver,0,2,4,Yes,1,"Streak cashback,Carbon-offset badges",Courier empathy rating,Late deliveries,5
80,Bengaluru,25-50k,1,<1/mo,205,Other,Vegetarian,None,4,5,2,Eco-Saver,0,4,3,Yes,2,Targeted discounts,"Courier empathy rating,Color-blind palette",Confusing UI,5
25,Lucknow,<25k,5,1-3/mo,172,Convenience,Vegetarian,"Peanuts,Dairy",3,5,4,Depends,0,4,3,Yes,4,"Streak cashback,Carbon-offset badges","Courier empathy rating,Voice-first ordering","Confusing UI,High fees",3
23,Lucknow,50-75k,1,1-3/mo,115,Convenience,None,Dairy,5,3,5,Express Fresh,47,3,5,Yes,4,"Carbon-offset badges,Targeted discounts","Voice-first ordering,Color-blind palette","High fees,Late deliveries,Confusing UI",3
27,Chennai,25-50k,3,<1/mo,160,Other,Keto,None,4,4,3,Express Fresh,54,3,5,No,2,"Carbon-offset badges,Streak cashback,Targeted discounts",Courier empathy rating,High fees,5
20,Bengaluru,<25k,7,3-5/wk,121,Variety,Calorie-controlled,None,2,5,4,Express Fresh,81,5,3,Yes,1,"Surprise free items,Carbon-offset badges","Voice-first ordering,Larger text/UI","Late deliveries,High fees",4
60,Bengaluru,25-50k,1,<1/mo,158,Time constraints,Gluten-free,None,3,5,5,Express Fresh,64,4,5,Yes,4,"Streak cashback,Surprise free items",None,"Sustainability concerns,Late deliveries,High fees",5
29,Hyderabad,75-100k,3,3-5/wk,100,Convenience,None,None,3,3,3,Express Fresh,100,1,2,Yes,5,Streak cashback,None,None,2
30,Mumbai,<25k,5,1-2/wk,129,Health meals,High-protein,None,4,5,4,Express Fresh,40,2,2,Yes,4,"Targeted discounts,Streak cashback",None,Confusing UI,4
24,Hyderabad,25-50k,2,1-3/mo,230,Health meals,Keto,None,4,3,4,Express Fresh,35,2,4,Yes,4,Surprise free items,Larger text/UI,"Sustainability concerns,Limited healthy options",4
36,Ahmedabad,25-50k,4,1-3/mo,164,Variety,None,None,3,4,3,Depends,0,4,4,No,5,"Carbon-offset badges,Surprise free items,Targeted discounts","Larger text/UI,Voice-first ordering","Sustainability concerns,Limited healthy options",5
29,Lucknow,50-75k,2,<1/mo,290,Variety,None,None,4,1,3,Eco-Saver,0,1,4,Yes,2,None of these,None,"Late deliveries,High fees,Cold food",5
33,Jaipur,<25k,1,<1/mo,107,Convenience,High-protein,None,2,4,5,Express Fresh,69,2,3,Yes,3,Targeted discounts,None,Cold food,2
18,Kolkata,75-100k,5,1-2/wk,135,Other,High-protein,"Peanuts,Gluten",2,3,2,Eco-Saver,0,2,5,Yes,5,"Surprise free items,Carbon-offset badges,Streak cashback",Courier empathy rating,High fees,4
22,Bengaluru,25-50k,2,1-3/mo,78,Convenience,Gluten-free,"Peanuts,Dairy",1,4,3,Express Fresh,49,4,3,Yes,2,"Surprise free items,Streak cashback,Targeted discounts",Color-blind palette,"High fees,Late deliveries",4
37,Kolkata,75-100k,2,1-3/mo,114,Other,Calorie-controlled,None,3,3,4,Eco-Saver,0,2,1,No,3,Surprise free items,None,"Limited healthy options,Sustainability concerns",1
24,Hyderabad,>100k,1,3-5/wk,228,Other,None,None,4,5,2,Eco-Saver,0,2,4,Yes,4,"Carbon-offset badges,Streak cashback",Color-blind palette,"Cold food,Limited healthy options",5
39,Kolkata,25-50k,3,1-2/wk,126,Variety,None,None,3,4,3,Express Fresh,52,4,3,Yes,2,"Carbon-offset badges,Streak cashback",Color-blind palette,"Late deliveries,Limited healthy options",3
41,Chennai,75-100k,6,1-3/mo,191,Health meals,Vegetarian,None,5,4,3,Express Fresh,75,4,3,No,3,"Targeted discounts,Streak cashback,Carbon-offset badges",None,"Confusing UI,High fees",4
30,Lucknow,25-50k,4,1-2/wk,111,Health meals,None,None,5,4,4,Express Fresh,26,3,3,No,1,"Surprise free items,Targeted discounts,Carbon-offset badges",Color-blind palette,"Sustainability concerns,High fees",4
22,Kolkata,50-75k,2,1-3/mo,134,Variety,Vegetarian,None,5,2,5,Depends,0,4,3,No,4,Surprise free items,"Courier empathy rating,Color-blind palette","Sustainability concerns,Limited healthy options",3
33,Pune,25-50k,6,1-2/wk,135,Other,None,None,4,4,5,Express Fresh,91,2,4,Yes,4,Streak cashback,"Courier empathy rating,Larger text/UI","Limited healthy options,Late deliveries",5
18,Chennai,50-75k,2,>5/wk,154,Health meals,None,None,4,3,4,Express Fresh,92,3,5,Yes,4,"Surprise free items,Carbon-offset badges,Streak cashback",Color-blind palette,"Sustainability concerns,Late deliveries,Confusing UI",5
22,Kolkata,>100k,4,1-2/wk,148,Health meals,Calorie-controlled,None,3,3,3,Eco-Saver,0,3,5,Yes,2,Carbon-offset badges,"Color-blind palette,Courier empathy rating","Sustainability concerns,Cold food,Late deliveries",4
33,Ahmedabad,50-75k,2,1-3/mo,114,Health meals,None,Dairy,4,3,3,Eco-Saver,0,2,4,Yes,3,"Carbon-offset badges,Targeted discounts,Surprise free items",Voice-first ordering,"Cold food,High fees",5
18,Jaipur,50-75k,4,1-3/mo,274,Health meals,High-protein,Gluten,3,3,3,Depends,0,3,3,Yes,3,Carbon-offset badges,None,Confusing UI,2
23,Lucknow,25-50k,6,<1/mo,182,Health meals,None,None,5,3,4,Express Fresh,60,3,3,No,3,Targeted discounts,"Larger text/UI,Color-blind palette","Limited healthy options,High fees,Confusing UI",2
29,Chennai,>100k,5,1-3/mo,324,Time constraints,None,Soy,3,5,3,Depends,0,5,5,No,4,None of these,Voice-first ordering,"Confusing UI,Cold food,High fees",3
45,Chennai,75-100k,4,1-3/mo,208,Convenience,High-protein,"Soy,Gluten",2,5,3,Eco-Saver,0,4,2,Yes,3,"Surprise free items,Targeted discounts","Voice-first ordering,Courier empathy rating",Sustainability concerns,3
35,Chennai,<25k,4,1-2/wk,114,Health meals,Vegetarian,"Dairy,Soy",4,3,5,Express Fresh,62,3,3,Yes,4,"Carbon-offset badges,Surprise free items","Voice-first ordering,Larger text/UI","High fees,Limited healthy options,Cold food",2
31,Ahmedabad,75-100k,2,3-5/wk,252,Other,Vegetarian,None,3,4,5,Express Fresh,78,3,5,No,3,Surprise free items,None,None,4
28,Lucknow,<25k,5,3-5/wk,90,Time constraints,None,Soy,2,4,5,Eco-Saver,0,5,3,Yes,5,"Streak cashback,Targeted discounts,Surprise free items",None,"Late deliveries,Limited healthy options",4
29,Pune,<25k,6,3-5/wk,95,Variety,Keto,None,5,3,3,Eco-Saver,0,3,3,No,4,"Streak cashback,Surprise free items","Courier empathy rating,Voice-first ordering",Sustainability concerns,4
23,Chennai,>100k,5,3-5/wk,266,Time constraints,High-protein,None,3,3,5,Express Fresh,59,3,4,Yes,3,None of these,None,High fees,4
35,Kolkata,25-50k,6,3-5/wk,148,Convenience,None,None,4,5,4,Eco-Saver,0,3,5,No,4,Surprise free items,None,"Sustainability concerns,Late deliveries,High fees",4
18,Ahmedabad,25-50k,1,1-2/wk,120,Other,None,"Gluten,Dairy",3,4,4,Depends,0,4,5,Yes,3,None of these,"Larger text/UI,Courier empathy rating",None,5
18,Hyderabad,25-50k,1,1-2/wk,116,Variety,None,Shellfish,5,3,3,Depends,0,3,5,Yes,2,"Streak cashback,Targeted discounts,Surprise free items",Larger text/UI,"Cold food,Limited healthy options",4
37,Hyderabad,<25k,2,1-3/mo,118,Health meals,None,None,5,3,4,Eco-Saver,0,4,4,Yes,3,"Targeted discounts,Streak cashback","Color-blind palette,Larger text/UI",Confusing UI,5
41,Mumbai,<25k,4,1-3/mo,143,Other,Calorie-controlled,None,3,4,4,Eco-Saver,0,3,5,No,2,None of these,Larger text/UI,"Confusing UI,Late deliveries",5
21,Hyderabad,<25k,5,1-2/wk,79,Convenience,High-protein,None,1,2,4,Express Fresh,98,2,4,Yes,4,"Targeted discounts,Streak cashback,Surprise free items",Courier empathy rating,"Confusing UI,Limited healthy options,Sustainability concerns",4
29,Hyderabad,<25k,1,1-2/wk,111,Health meals,Vegetarian,None,3,4,3,Express Fresh,65,2,4,Yes,2,"Targeted discounts,Carbon-offset badges,Streak cashback",Voice-first ordering,None,4
25,Bengaluru,>100k,1,1-2/wk,226,Other,None,None,3,4,3,Eco-Saver,0,3,3,Yes,3,Carbon-offset badges,Courier empathy rating,"Sustainability concerns,Confusing UI,High fees",3
35,Lucknow,25-50k,1,1-3/mo,592,Variety,None,None,2,4,3,Express Fresh,66,5,5,Yes,4,"Streak cashback,Surprise free items",None,Sustainability concerns,3
25,Chennai,25-50k,2,3-5/wk,75,Health meals,High-protein,None,5,4,5,Eco-Saver,0,3,3,Yes,3,"Streak cashback,Targeted discounts,Carbon-offset badges","Voice-first ordering,Courier empathy rating","Confusing UI,Cold food,High fees",3
37,Pune,75-100k,2,1-2/wk,142,Convenience,Vegetarian,None,3,4,4,Eco-Saver,0,5,4,Yes,2,Streak cashback,None,"Cold food,High fees",4
34,Ahmedabad,25-50k,3,<1/mo,76,Convenience,None,None,4,3,4,Express Fresh,39,4,4,Yes,4,"Streak cashback,Carbon-offset badges",Color-blind palette,"Late deliveries,High fees,Cold food",4
29,Bengaluru,25-50k,4,1-2/wk,117,Variety,Vegetarian,None,3,5,3,Express Fresh,105,5,4,Yes,3,"Surprise free items,Targeted discounts,Streak cashback",Voice-first ordering,Confusing UI,4
36,Delhi,50-75k,3,<1/mo,213,Other,None,None,3,2,3,Depends,0,5,3,Yes,4,Streak cashback,Larger text/UI,"Cold food,Confusing UI,High fees",1
40,Pune,50-75k,1,1-3/mo,148,Convenience,Vegetarian,Shellfish,3,3,4,Express Fresh,46,4,2,Yes,3,Targeted discounts,"Voice-first ordering,Courier empathy rating","Late deliveries,Confusing UI,High fees",3
18,Lucknow,<25k,2,1-2/wk,166,Variety,High-protein,None,3,5,3,Eco-Saver,0,4,3,Yes,3,"Streak cashback,Surprise free items",Courier empathy rating,Confusing UI,3
48,Hyderabad,25-50k,2,1-2/wk,475,Convenience,None,None,4,4,4,Express Fresh,115,2,4,Yes,4,"Targeted discounts,Streak cashback",None,None,5
38,Jaipur,25-50k,1,1-2/wk,196,Health meals,Vegetarian,Shellfish,2,3,4,Express Fresh,39,5,4,Yes,4,Surprise free items,Color-blind palette,"Limited healthy options,Cold food,Sustainability concerns",4
24,Jaipur,50-75k,3,1-2/wk,304,Health meals,Gluten-free,None,4,4,3,Depends,0,5,3,No,3,"Surprise free items,Streak cashback",None,Late deliveries,3
25,Lucknow,<25k,2,1-2/wk,164,Convenience,None,Peanuts,4,3,4,Express Fresh,0,2,5,Yes,5,"Streak cashback,Carbon-offset badges,Surprise free items",Courier empathy rating,"Limited healthy options,Cold food",5
30,Chennai,>100k,3,1-3/mo,1116,Health meals,Vegetarian,None,4,3,3,Depends,0,4,5,Yes,2,Surprise free items,Larger text/UI,"High fees,Sustainability concerns,Confusing UI",4
48,Jaipur,50-75k,1,1-3/mo,274,Time constraints,Vegan,None,2,4,3,Express Fresh,89,3,4,No,4,Carbon-offset badges,Larger text/UI,High fees,4
32,Mumbai,25-50k,1,<1/mo,127,Health meals,None,"Shellfish,Peanuts",3,4,2,Eco-Saver,0,2,4,Yes,3,"Surprise free items,Targeted discounts,Streak cashback","Voice-first ordering,Larger text/UI",Limited healthy options,4
28,Jaipur,25-50k,2,3-5/wk,170,Variety,None,"Dairy,Shellfish",3,4,3,Express Fresh,7,5,2,Yes,5,"Targeted discounts,Carbon-offset badges",Color-blind palette,"Limited healthy options,Confusing UI",3
20,Pune,25-50k,2,1-2/wk,63,Time constraints,Vegetarian,None,3,3,4,Express Fresh,64,3,5,Yes,2,"Carbon-offset badges,Targeted discounts",None,"Cold food,High fees,Confusing UI",3
29,Lucknow,75-100k,1,1-2/wk,182,Other,Vegetarian,None,3,3,4,Eco-Saver,0,4,3,Yes,3,Streak cashback,None,None,3
33,Chennai,<25k,4,1-2/wk,142,Convenience,None,None,2,4,3,Depends,0,5,3,Yes,1,Streak cashback,None,Limited healthy options,4
28,Jaipur,75-100k,2,1-3/mo,289,Other,None,"Shellfish,Soy",5,4,3,Express Fresh,92,3,5,Yes,2,"Carbon-offset badges,Streak cashback,Surprise free items",Voice-first ordering,"Late deliveries,Limited healthy options",5
44,Pune,<25k,4,1-3/mo,120,Health meals,High-protein,Shellfish,5,2,2,Depends,0,4,4,Yes,4,"Carbon-offset badges,Targeted discounts,Surprise free items","Color-blind palette,Voice-first ordering","Late deliveries,High fees",4
20,Lucknow,25-50k,3,1-3/mo,270,Variety,High-protein,None,3,4,4,Eco-Saver,0,4,4,Yes,4,"Carbon-offset badges,Surprise free items",None,"Sustainability concerns,Limited healthy options",3
25,Delhi,>100k,3,1-3/mo,219,Other,High-protein,Gluten,4,4,3,Depends,0,5,5,Yes,3,"Targeted discounts,Carbon-offset badges,Streak cashback","Larger text/UI,Courier empathy rating","Sustainability concerns,High fees",5
40,Chennai,<25k,2,3-5/wk,120,Time constraints,Vegetarian,None,3,4,4,Express Fresh,25,3,5,Yes,3,"Carbon-offset badges,Streak cashback",Voice-first ordering,Limited healthy options,5
24,Pune,>100k,1,1-2/wk,136,Variety,Vegan,None,3,4,3,Express Fresh,99,4,2,Yes,3,"Targeted discounts,Surprise free items,Carbon-offset badges",Color-blind palette,Confusing UI,3
29,Ahmedabad,25-50k,3,1-3/mo,243,Other,Vegan,None,5,3,5,Eco-Saver,0,2,3,No,4,"Surprise free items,Targeted discounts",None,"Limited healthy options,Confusing UI,Sustainability concerns",4
18,Lucknow,>100k,1,3-5/wk,405,Time constraints,None,None,2,5,2,Eco-Saver,0,2,4,Yes,2,None of these,"Color-blind palette,Courier empathy rating",Sustainability concerns,4
40,Lucknow,25-50k,4,<1/mo,155,Time constraints,None,None,4,4,4,Eco-Saver,0,3,5,Yes,2,Targeted discounts,Larger text/UI,"Late deliveries,Limited healthy options,High fees",5
33,Pune,50-75k,7,1-2/wk,224,Variety,Vegetarian,None,2,4,2,Depends,0,3,3,No,3,"Surprise free items,Carbon-offset badges,Streak cashback",Larger text/UI,Cold food,3
29,Ahmedabad,25-50k,2,3-5/wk,200,Variety,Calorie-controlled,None,3,3,4,Eco-Saver,0,2,3,Yes,4,"Carbon-offset badges,Surprise free items,Targeted discounts","Voice-first ordering,Courier empathy rating","Cold food,High fees",3
36,Jaipur,25-50k,3,1-3/mo,194,Other,Calorie-controlled,None,2,3,2,Express Fresh,81,2,3,Yes,3,"Carbon-offset badges,Surprise free items","Courier empathy rating,Voice-first ordering",None,4
29,Hyderabad,50-75k,1,1-3/mo,190,Other,Vegan,None,1,4,4,Eco-Saver,0,4,4,Yes,3,"Streak cashback,Carbon-offset badges,Surprise free items","Larger text/UI,Courier empathy rating","Confusing UI,High fees",5
27,Chennai,25-50k,4,3-5/wk,76,Convenience,High-protein,None,4,2,3,Depends,0,4,3,No,5,None of these,Color-blind palette,Confusing UI,3
18,Hyderabad,25-50k,6,1-2/wk,223,Time constraints,None,Shellfish,3,2,4,Express Fresh,54,4,3,Yes,5,Carbon-offset badges,Color-blind palette,None,2
22,Chennai,75-100k,3,1-3/mo,129,Health meals,Vegetarian,Soy,4,2,2,Express Fresh,126,2,3,Yes,4,"Targeted discounts,Streak cashback","Color-blind palette,Courier empathy rating","Late deliveries,Limited healthy options",3
19,Mumbai,50-75k,3,1-2/wk,188,Other,None,None,2,5,2,Eco-Saver,0,2,4,Yes,2,"Surprise free items,Carbon-offset badges",None,Sustainability concerns,5
27,Kolkata,25-50k,3,1-3/mo,156,Health meals,Vegan,Peanuts,3,2,5,Express Fresh,89,4,3,Yes,3,"Carbon-offset badges,Streak cashback",Larger text/UI,None,3
18,Lucknow,50-75k,3,1-3/mo,240,Convenience,Other,Peanuts,3,4,4,Express Fresh,73,2,2,Yes,5,"Carbon-offset badges,Targeted discounts,Streak cashback",Larger text/UI,"Sustainability concerns,Cold food",4
25,Jaipur,75-100k,4,1-3/mo,227,Other,Vegetarian,None,2,3,4,Express Fresh,112,5,4,Yes,1,None of these,None,Late deliveries,4
18,Jaipur,<25k,1,1-2/wk,84,Variety,None,None,3,4,4,Eco-Saver,0,2,4,Yes,4,Targeted discounts,Larger text/UI,Late deliveries,3
28,Kolkata,25-50k,2,3-5/wk,164,Other,Gluten-free,None,1,4,4,Eco-Saver,0,2,5,No,3,"Carbon-offset badges,Streak cashback,Surprise free items","Larger text/UI,Courier empathy rating",Sustainability concerns,4
36,Mumbai,75-100k,1,3-5/wk,113,Health meals,Vegetarian,None,3,5,4,Express Fresh,72,4,3,Yes,3,Streak cashback,"Courier empathy rating,Color-blind palette","Confusing UI,Limited healthy options",4
